,isbn,title,author,year,publisher,tag_name
0,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,to-read
1,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,favorites
2,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,currently-reading
3,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,fiction
4,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,books-i-own
5,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,re-read
6,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,all-time-favorites
7,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,default
8,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,my-books
9,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,classics
10,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,i-own
11,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,audiobook
12,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,novels
13,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,english
14,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,british
15,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,books
16,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,read-in-2015
17,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,shelfari-favorites
18,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,kindle
19,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,to-buy
20,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,to-re-read
21,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,ebook
22,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,contemporary
23,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,favourite-books
24,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,on-my-shelf
25,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,my-bookshelf
26,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,classic
27,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,british-literature
28,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,love
29,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,other
30,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,contemporary-fiction
