,uid,bid,rating
798,277042,0312283709,8
801,277042,0446605484,7
802,277042,0446611212,8
805,277042,0609804138,9
809,277042,074343627X,8
812,277042,0971880107,2
1456,277427,002542730X,10
1474,277427,0061009059,9
1522,277427,0316776963,8
1543,277427,0345413903,10
1578,277427,0385424736,9
1581,277427,0385486804,9
1583,277427,0385503857,9
1584,277427,0385504209,8
1601,277427,0399501487,9
1611,277427,0425116840,8
1647,277427,0440224764,7
1652,277427,0440236738,9
1670,277427,0446608890,10
1688,277427,0451191153,8
1694,277427,0452284449,6
1708,277427,0552137030,8
1718,277427,0553280368,9
1724,277427,0553571656,10
1776,277427,0679731148,9
1799,277427,0743412028,9
1807,277427,0767903382,10
2254,277523,0316603570,10
2255,277523,0316693200,10
2260,277523,0385508042,10
2261,277523,0385510438,10
2264,277523,0440241537,10
2267,277523,0515133302,10
2273,277523,0684835983,10
2275,277523,0743206045,10
2278,277523,1558744150,10
2387,277623,002542730X,5
2388,277623,0028604199,9
2392,277623,0786890436,4
2393,277623,1400031346,8
2394,277623,1400031354,8
2499,277639,0380731851,6
2524,277639,042516098X,5
2537,277639,0440211727,8
2540,277639,0440214041,9
2617,277639,0553579754,7
3150,277945,0312983301,6
3156,277945,0451203771,8
3159,277945,0515121843,7
3160,277945,051512317X,7
3165,277945,0515136379,7
3166,277945,0515136530,7
3213,277965,0316789089,5
3225,277965,0385484518,10
3227,277965,0399141464,8
3228,277965,0399145087,7
3243,277965,0679457526,9
3244,277965,0679781587,9
3246,277965,0684874350,10
3254,277965,0786881852,7
3382,278026,0061009059,8
3391,278026,0380731851,5
3406,278026,0449006522,8
3407,278026,0449219364,6
3408,278026,0449221512,5
3415,278026,0451206525,8
3418,278026,0515130389,8
3422,278026,0671001795,8
3428,278026,0743206045,7
3564,278137,0345337662,7
3603,278137,0440940001,8
3610,278137,0446606812,7
3647,278137,0804106304,8
3664,278137,1558744150,9
3796,278188,0156005891,8
3817,278188,0373218192,7
3831,278188,0373484003,7
3858,278188,0440122090,4
3861,278188,044022103X,8
3863,278188,0440225701,9
3873,278188,0446603589,9
3990,278194,0060926317,8
3992,278194,0140280553,5
4003,278194,0385498802,4
4006,278194,0440241537,7
4007,278194,0451209907,5
4008,278194,0452284449,8
4011,278194,0671683993,8
4013,278194,0688177859,9
4015,278194,0802139256,6
4251,278356,0312265859,7
4257,278356,0439064872,8
4258,278356,0439136369,10
4259,278356,0439139600,10
4260,278356,043935806X,10
4300,278390,0380730847,7
4302,278390,0399147195,7
4303,278390,0425182908,4
4304,278390,0440236053,7
4309,278390,0671027360,7
4310,278390,0671683993,10
4316,278390,080410753X,9
5990,278418,0394820371,8
6155,278418,042513525X,5
6181,278418,0425178102,7
6186,278418,042518630X,7
6747,278418,0515130389,8
6749,278418,0515131229,8
8994,278535,0425178765,8
8995,278535,0425182878,9
8998,278535,0440221595,7
9002,278535,0446605484,10
9003,278535,0446610038,10
9004,278535,0446611212,9
9005,278535,0449003787,9
9007,278535,0449219461,8
9130,278582,0312980140,7
9131,278582,0312983298,3
9132,278582,0312983867,7
9135,278582,0312990456,5
9138,278582,0345350499,10
9151,278582,0449221512,8
9161,278582,0671001795,8
9170,278582,1400034779,10
9197,278633,0060987561,10
9198,278633,0140244824,7
9199,278633,014028009X,2
9202,278633,0142000205,7
9204,278633,0316096199,8
9205,278633,0316666343,9
9206,278633,0316899984,7
9210,278633,0375703063,7
9222,278633,0440226430,9
9226,278633,0446679593,8
9227,278633,0449907481,6
9228,278633,0451163524,5
9240,278633,0553278355,8
9246,278633,0671038184,8
9253,278633,0684814994,10
9257,278633,0688170528,8
9258,278633,0743225082,7
9457,278843,0060173289,9
9458,278843,0060517794,7
9463,278843,014028009X,8
9465,278843,0142000205,9
9477,278843,0399146431,9
9480,278843,0440211263,7
9485,278843,0553274503,8
9489,278843,059035342X,8
9503,278843,0767902890,9
9504,278843,0786881852,8
9955,243,0060915544,10
9956,243,0060977493,7
9962,243,0316601950,9
9966,243,0316776963,9
9967,243,0316899984,7
9976,243,0375400117,10
9989,243,0385720106,7
9994,243,0425163407,9
10001,243,044023722X,7
10005,243,0446364800,9
10012,243,0449006522,6
10035,243,155874262X,5
10036,244,0060977493,7
10037,244,0060987103,8
10038,244,0151008116,9
10040,244,0525947647,9
10041,244,0804111359,8
10042,244,155874262X,6
10043,244,1558744150,6
10071,254,0064471047,7
10084,254,0142001740,9
10186,254,0380789035,10
10202,254,0399146431,9
10208,254,0439064864,9
10209,254,0439064872,9
10210,254,0439136350,9
10211,254,0439136369,9
10212,254,0439139597,9
10243,254,0451167317,8
10251,254,0451524934,9
10253,254,0451526341,8
10279,254,0590353403,9
10284,254,0618002219,9
10285,254,0618002227,8
10290,254,0671021001,7
10305,254,0679781587,8
11077,638,0316603287,9
11078,638,0316666343,10
11079,638,0316693006,10
11080,638,0316693200,9
11081,638,0316769487,10
11082,638,0316776963,10
