,uid,bid,rating
174,276847,3257200552,5
177,276847,3404148576,8
179,276847,3423071516,10
182,276847,3426029553,8
210,276847,3551551677,10
211,276847,3551551685,10
212,276847,3551551693,10
213,276847,3551551936,10
684,276964,0345354621,10
691,276964,0440220602,9
698,276964,0684867621,8
701,276964,0812550307,10
703,276964,0886773741,7
704,276964,0886774802,8
705,276964,0886774829,8
798,277042,0312283709,8
801,277042,0446605484,7
802,277042,0446611212,8
805,277042,0609804138,9
809,277042,074343627X,8
812,277042,0971880107,2
911,277157,0312979517,5
913,277157,0316154059,5
916,277157,0345450175,6
917,277157,0345452550,7
928,277157,0399146504,7
930,277157,0399147101,7
936,277157,0399148639,6
937,277157,0399148728,8
941,277157,0399151451,7
945,277157,0425183181,5
954,277157,0671024094,7
955,277157,0679450408,6
960,277157,074320607X,7
962,277157,0743486226,7
1083,277195,0060391626,10
1100,277195,0330332775,10
1131,277195,055326611X,10
1134,277195,0553347756,10
1135,277195,0553379615,10
1138,277195,0670869902,10
1140,277195,0671021001,10
1173,277195,1573221856,10
1388,277378,0312195516,7
1396,277378,0446608955,4
1403,277378,0670892963,7
1422,277378,0804114986,5
1425,277378,0812515595,4
1456,277427,002542730X,10
1465,277427,0060542128,7
1474,277427,0061009059,9
1497,277427,0152050167,10
1522,277427,0316776963,8
1543,277427,0345413903,10
1564,277427,0380702843,8
1570,277427,0380791978,9
1578,277427,0385424736,9
1581,277427,0385486804,9
1583,277427,0385503857,9
1584,277427,0385504209,8
1586,277427,039304016X,8
1601,277427,0399501487,9
1607,277427,0425104338,9
1611,277427,0425116840,8
1615,277427,0425133516,9
1628,277427,0425190749,7
1637,277427,0440185327,5
1647,277427,0440224764,7
1650,277427,0440236061,8
1652,277427,0440236738,9
1655,277427,0440428130,8
1659,277427,0441627404,10
1662,277427,0446350982,9
1664,277427,0446600415,10
1670,277427,0446608890,10
1688,277427,0451191153,8
1690,277427,0451203593,10
1694,277427,0452284449,6
1708,277427,0552137030,8
1718,277427,0553280368,9
1724,277427,0553571656,10
1728,277427,0553573926,10
1729,277427,0553574566,9
1736,277427,0553581929,9
1755,277427,0671528904,8
1768,277427,0671876821,8
1776,277427,0679731148,9
1778,277427,0679736042,5
1797,277427,0740723367,9
1798,277427,0743406176,8
1799,277427,0743412028,9
1802,277427,0743444477,9
1803,277427,0743457943,8
1807,277427,0767903382,10
1810,277427,0786866845,10
1828,277427,0811802981,10
1829,277427,0811811409,10
1838,277427,0836210263,10
1842,277427,0836217691,10
1844,277427,0836218515,10
1847,277427,0836218817,10
1849,277427,0836221192,10
1850,277427,0836221311,8
1852,277427,0836236688,10
1858,277427,0843947888,7
1880,277427,0890876517,10
1893,277427,0898157803,10
2029,277478,0312113420,7
2039,277478,0312979533,7
2095,277478,0440213320,7
2126,277478,0552142379,8
2165,277478,0752853694,10
2190,277478,1558745718,8
2253,277523,0312289723,10
2254,277523,0316603570,10
2255,277523,0316693200,10
2256,277523,0345452577,10
2257,277523,0345452593,10
2260,277523,0385508042,10
2261,277523,0385510438,10
2262,277523,039915180X,10
2264,277523,0440241537,10
2265,277523,0446530891,10
2266,277523,0446613843,10
2267,277523,0515133302,10
2271,277523,0553803409,10
2272,277523,0671886665,10
2273,277523,0684835983,10
2275,277523,0743206045,10
2278,277523,1558744150,10
2387,277623,002542730X,5
2388,277623,0028604199,9
2392,277623,0786890436,4
2393,277623,1400031346,8
2394,277623,1400031354,8
2407,277629,0380018179,8
2408,277629,0385472943,8
2410,277629,0425116840,6
2411,277629,0440241073,8
2413,277629,0671000306,7
2414,277629,0671000314,8
2415,277629,0671026682,7
2450,277639,034539657X,8
2499,277639,0380731851,6
2522,277639,0425142485,7
2523,277639,0425147363,8
2524,277639,042516098X,5
2537,277639,0440211727,8
2540,277639,0440214041,9
2578,277639,0451162145,8
2608,277639,0553297260,8
2617,277639,0553579754,7
2675,277639,0812543262,8
2765,277710,0061015725,4
2768,277710,0425192032,9
2769,277710,0446611638,5
2770,277710,0446613843,6
2771,277710,0451208765,10
2776,277710,0553582763,6
2828,277744,0061031550,8
2829,277744,0312421273,7
2831,277744,0345339681,3
2832,277744,0345377443,8
2835,277744,0440235162,5
2846,277744,0887307876,9
2847,277744,0929634063,10
2848,277744,1551660717,8
2936,277873,0395977894,10
2937,277873,042518336X,5
2938,277873,0553575538,6
2939,277873,0679781587,10
2940,277873,0767903579,7
3022,277922,0345384377,7
3025,277922,0440225701,6
3026,277922,0446609943,7
3028,277922,0553580191,9
3029,277922,0553582917,10
3053,277928,0385301499,8
3076,277928,0679751602,10
3077,277928,0679764925,8
3084,277928,0767915062,9
3086,277928,0804105820,9
3125,277937,0060934417,9
3128,277937,0316168815,7
3129,277937,0316785261,6
3131,277937,0452283205,7
3132,277937,0452283868,6
3135,277937,0684848406,6
3137,277937,0743225325,6
3138,277937,0743237188,7
3148,277945,0312974256,6
3150,277945,0312983301,6
3155,277945,0446610550,7
3156,277945,0451203771,8
3159,277945,0515121843,7
3160,277945,051512317X,7
3161,277945,0515124214,7
3162,277945,0515134384,7
3163,277945,0515136263,7
3165,277945,0515136379,7
3166,277945,0515136530,7
3167,277945,0515137111,8
3213,277965,0316789089,5
3225,277965,0385484518,10
3227,277965,0399141464,8
3228,277965,0399145087,7
3235,277965,0446526126,8
3243,277965,0679457526,9
3244,277965,0679781587,9
3246,277965,0684874350,10
3252,277965,0786866845,9
3254,277965,0786881852,7
3337,278007,0316601950,6
3338,278007,034543479X,8
3339,278007,0374480095,8
3341,278007,0446670251,6
3342,278007,0804115761,7
3343,278007,0821766570,5
3382,278026,0061009059,8
3384,278026,0061031410,8
3386,278026,0061094129,8
3387,278026,0312983433,8
3388,278026,0345440064,8
3391,278026,0380731851,5
3392,278026,0380820889,8
3394,278026,038533558X,9
3400,278026,0446527041,8
3405,278026,0446612510,8
3406,278026,0449006522,8
3407,278026,0449219364,6
3408,278026,0449221512,5
3409,278026,0449227545,3
3413,278026,0451202473,7
3414,278026,0451204301,8
3415,278026,0451206525,8
3416,278026,0515125490,8
3418,278026,0515130389,8
3421,278026,0553582364,6
3422,278026,0671001795,8
3426,278026,0684810387,8
3428,278026,0743206045,7
3431,278026,0786889667,5
3437,278026,1551667517,7
3546,278137,0060002492,7
3549,278137,0061057894,9
3564,278137,0345337662,7
3585,278137,0380600129,8
3603,278137,0440940001,8
3610,278137,0446606812,7
3616,278137,0515094978,8
3620,278137,0553287532,9
3627,278137,0670894508,4
3629,278137,0671434225,8
3631,278137,0671525808,9
3647,278137,0804106304,8
3664,278137,1558744150,9
